Feature,Importance
month,0.21561304
rain,0.16280909
month_sin,0.09541853
rain_lag_1h,0.08035748
hour_cos,0.02614333
temperature_rolling_mean_24h,0.024110157
cloud_cover,0.023872906
hour_sin,0.023853133
temperature_rolling_std_24h,0.021984039
wind_direction_cos,0.019830488
pressure,0.019421153
humidity_lag_1h,0.018876126
temperature_lag_6h,0.018863827
humidity,0.018654482
pressure_lag_1h,0.018231781
wind_direction,0.017712953
wind_direction_sin,0.017203085
temperature_change_1h,0.016951349
pressure_change_1h,0.016899105
hour,0.01687552
wind_speed_lag_1h,0.016726278
temperature_lag_3h,0.016591169
month_cos,0.016446322
wind_speed,0.016157398
temperature_lag_24h,0.0161318
temperature_lag_12h,0.015633574
temperature_lag_1h,0.014935376
temperature,0.013696624
