Month,Records,Actual_Mean,LSTM_Mean,Bias,MAE,RMSE
January,744,24.92459677419355,28.43853699731183,-3.5139402231182792,3.5139402231182792,3.716009021567241
February,672,25.333184523809525,29.013049651785714,-3.6798651279761905,3.6798651279761905,3.902220213274329
March,744,27.389516129032263,29.845662650537633,-2.456146521505376,2.457101569892473,2.6619738871408964
April,720,29.255416666666665,30.680637347222223,-1.4252206805555554,1.4808485027777778,1.7575393358819493
May,744,30.338709677419356,30.517302220430107,-0.17859254301075253,1.069664556451613,1.5137835076524717
June,720,31.416111111111114,30.8408785125,0.5752325986111112,1.2635677680555555,1.6850141009538422
July,744,29.56061827956989,29.28366370967742,0.2769545698924733,1.2428404139784945,1.546071966431488
August,744,29.756317204301077,28.836583940860212,0.9197332634408601,1.2957876774193549,1.5540191940621617
September,720,28.965694444444445,28.04078822638889,0.9249062180555556,1.2271719319444443,1.4642911865749306
October,744,28.120698924731183,27.1594618077957,0.961237116935484,1.1976920174731185,1.4279494972719797
November,720,26.26763888888889,25.88780685833333,0.37983203055555553,1.013568461111111,1.3131583700754292
December,720,25.755972222222223,26.048218356944442,-0.2922461347222222,0.8869334791666669,1.1268522972124848
