Month_Number,Month,Records,Model,MAE,RMSE,MAPE,R2
1,January,744,Persistence,0.7516129032258065,1.0282566936115658,3.107742010143643,0.8109956168246588
1,January,744,XGBoost,0.7082727258064516,0.936394121491588,2.961087897692158,0.843257726217275
1,January,744,LSTM,3.5139402231182792,3.716009021567241,14.45125398076003,-1.4684384617536805
1,January,744,Hybrid,0.7668716142473119,1.0001987163210564,3.239452775221532,0.8211695905119039
2,February,672,Persistence,0.7888392857142856,1.084996434051634,3.2502792855812106,0.8751174091375917
2,February,672,XGBoost,0.8376937261904762,1.0892270944269422,3.5076842784952893,0.8741416162853032
2,February,672,LSTM,3.6798651279761905,3.902220213274329,15.11433209209174,-0.6153581491155757
2,February,672,Hybrid,0.9618307827380954,1.2143641812421961,4.068487667807558,0.8435616681854589
3,March,744,Persistence,0.6506720430107527,0.9355364742347868,2.443515557814387,0.8575992274653316
3,March,744,XGBoost,0.5699235537634408,0.8126312750671426,2.139462778781437,0.892557040543597
3,March,744,LSTM,2.457101569892473,2.6619738871408964,9.141029071221578,-0.15291815682077625
3,March,744,Hybrid,0.6015630483870967,0.850535514093229,2.2611493700657475,0.882300179231929
4,April,720,Persistence,0.6219444444444444,0.8434222614509953,2.162002922583099,0.8901815390735249
4,April,720,XGBoost,0.6033052944444445,0.8380012920509564,2.093291126476092,0.8915886855777463
4,April,720,LSTM,1.4808485027777778,1.7575393358819493,5.181507686749403,0.523135117362133
4,April,720,Hybrid,0.6171806902777779,0.8634136152319153,2.1523913101226877,0.8849138612981562
5,May,744,Persistence,1.041263440860215,1.5151253541240994,3.421719956738249,0.7396585152138435
5,May,744,XGBoost,0.9186480456989248,1.324162653270353,3.023970691121256,0.8011484797262547
5,May,744,LSTM,1.069664556451613,1.5137835076524717,3.5512732589029734,0.7401194455373912
5,May,744,Hybrid,0.9171830107526883,1.3270801644829482,3.0219950933414177,0.8002712602110149
6,June,720,Persistence,1.191527777777778,1.7276388833060894,3.791735114761727,0.6761594704504468
6,June,720,XGBoost,1.102303548611111,1.5455260376211266,3.485484233680215,0.7408340672421099
6,June,720,LSTM,1.2635677680555555,1.6850141009538422,3.930453850542589,0.6919421073363011
6,June,720,Hybrid,1.1046541652777777,1.541178582896614,3.4854138434550306,0.742290047213802
7,July,744,Persistence,1.1454301075268818,1.5909184471167415,3.881526449347502,0.6717300326800726
7,July,744,XGBoost,1.1815294099462366,1.506111251459061,4.023471913870747,0.7057954245484367
7,July,744,LSTM,1.2428404139784945,1.546071966431488,4.177465966065736,0.6899764194239316
7,July,744,Hybrid,1.1793804838709678,1.498098244522594,4.01102085992591,0.708917626924527
8,August,744,Persistence,1.0126344086021504,1.325281467365305,3.477649492867848,0.7848955896461562
8,August,744,XGBoost,0.8997588776881722,1.1637385511995644,3.047525840305634,0.8341391418319667
8,August,744,LSTM,1.2957876774193549,1.5540191940621617,4.267695727111915,0.7042356518418216
8,August,744,Hybrid,0.9199399650537636,1.1756127364653879,3.1036313528768438,0.8307371573501482
9,September,720,Persistence,0.9718055555555555,1.3119059502198405,3.3747790567454867,0.7560372340107737
9,September,720,XGBoost,0.8876230277777779,1.1245224169970705,3.0644563597013326,0.8207519747822283
9,September,720,LSTM,1.2271719319444443,1.4642911865749306,4.145008397859705,0.6960703697113915
9,September,720,Hybrid,0.8944496055555555,1.1248051716014325,3.0755072200929123,0.8206618217080253
10,October,744,Persistence,0.8348118279569893,1.1060136206359565,3.014539975375858,0.7837222538272325
10,October,744,XGBoost,0.7629220362903225,0.9920188501982592,2.7242512963638927,0.8260074177139829
10,October,744,LSTM,1.1976920174731185,1.4279494972719797,4.208840541015141,0.6394906107142629
10,October,744,Hybrid,0.7751454327956989,1.0012123544678289,2.7566872241647293,0.8227675323490163
11,November,720,Persistence,0.9726388888888888,1.3376544562944663,3.7123648436344627,0.3668914731793792
11,November,720,XGBoost,0.9047168874999999,1.143746042922428,3.4206278993198342,0.5371401712258899
11,November,720,LSTM,1.013568461111111,1.3131583700754292,3.8446323580820354,0.3898670300588025
11,November,720,Hybrid,0.8988211916666669,1.138789088560597,3.3966075534939457,0.5411435130371416
12,December,720,Persistence,0.8288888888888888,1.159094474147815,3.2533033910832967,0.4931926697540706
12,December,720,XGBoost,0.7219133986111111,0.9530799107485389,2.8466418903212496,0.6573396549321064
12,December,720,LSTM,0.8869334791666669,1.1268522972124848,3.4739214297459005,0.520995927605208
12,December,720,Hybrid,0.7094281458333334,0.9396292526134657,2.798691265897018,0.6669432233861874
