Feature,Importance
month,0.20624352
rain,0.19019336
month_sin,0.0855138
rain_lag_1h,0.07626424
temperature_rolling_std_24h,0.024451155
temperature_rolling_mean_24h,0.02431102
hour_sin,0.022915682
month_cos,0.022094095
humidity,0.021514855
cloud_cover,0.021282304
hour_cos,0.020486005
wind_direction_cos,0.019368703
humidity_lag_1h,0.019211816
temperature_lag_6h,0.018682014
pressure_lag_1h,0.018109133
wind_direction,0.017895944
wind_speed_lag_1h,0.017658597
pressure,0.017115919
temperature_lag_3h,0.016550858
pressure_change_1h,0.016367713
temperature_lag_1h,0.016290806
wind_direction_sin,0.016093437
temperature_lag_24h,0.016058328
wind_speed,0.015833382
temperature_change_1h,0.0155146355
temperature_lag_12h,0.015190016
hour,0.014703082
temperature,0.014085685
