Feature,Mean_SHAP,Mean_Absolute_SHAP,Positive_SHAP_Fraction,Negative_SHAP_Fraction
month,-0.28492272,0.610084,0.49416208791208793,0.5058379120879121
rain,-0.15236908,0.34403467,0.19196428571428573,0.8080357142857143
temperature_rolling_std_24h,-0.21655408,0.32775256,0.33516483516483514,0.6648351648351648
month_sin,-0.16104817,0.28956112,0.5372023809523809,0.46279761904761907
temperature_rolling_mean_24h,-0.14451413,0.24275517,0.4368131868131868,0.5631868131868132
cloud_cover,-0.10241569,0.20315462,0.558264652014652,0.44173534798534797
temperature_lag_6h,-0.10499143,0.17509058,0.33195970695970695,0.668040293040293
rain_lag_1h,-0.056221414,0.16803764,0.19184981684981686,0.8081501831501832
pressure,-0.1072672,0.15890351,0.3573717948717949,0.6426282051282052
wind_direction_cos,-0.024528805,0.14996596,0.3762591575091575,0.6237408424908425
