Rank,Feature,Mean_Absolute_SHAP
1,month,0.6100837
2,rain,0.3440351
3,temperature_rolling_std_24h,0.3277531
4,month_sin,0.28956157
5,temperature_rolling_mean_24h,0.24275579
6,cloud_cover,0.20315492
7,temperature_lag_6h,0.17509061
8,rain_lag_1h,0.16803768
9,pressure,0.15890327
10,wind_direction_cos,0.14996599
11,humidity,0.11501906
12,temperature_lag_24h,0.09514767
13,pressure_lag_1h,0.0895071
14,hour_sin,0.08842337
15,wind_speed,0.08162718
16,temperature_lag_3h,0.08121451
17,wind_direction_sin,0.07943771
18,humidity_lag_1h,0.07778381
19,temperature,0.076455496
20,temperature_change_1h,0.07532129
21,temperature_lag_12h,0.070792176
22,pressure_change_1h,0.06607264
23,wind_speed_lag_1h,0.06591836
24,hour_cos,0.06198311
25,wind_direction,0.061047543
26,temperature_lag_1h,0.053130195
27,hour,0.029684445
28,month_cos,0.028798282
