Feature,Mean_SHAP,Mean_Absolute_SHAP,Positive_SHAP_Fraction,Negative_SHAP_Fraction
temperature,0.06976694,1.1733335,0.4832875457875458,0.5167124542124543
temperature_lag_24h,-0.0029328,0.5616297,0.391025641025641,0.6089743589743589
temperature_lag_1h,0.07111162,0.45032972,0.5815018315018315,0.4184981684981685
hour_cos,0.01281618,0.2943089,0.39411630036630035,0.6058836996336996
month_cos,0.0025814758,0.12493948,0.5119047619047619,0.4880952380952381
month,-0.011881118,0.07724867,0.43772893772893773,0.5622710622710623
hour,0.011546702,0.07706853,0.6482371794871795,0.35176282051282054
temperature_rolling_mean_24h,-0.010481294,0.052970473,0.39285714285714285,0.6071428571428571
wind_direction_sin,0.007881376,0.05175055,0.43189102564102566,0.5681089743589743
temperature_lag_3h,0.016079737,0.048064668,0.5883699633699634,0.4116300366300366
wind_direction,-0.0009862084,0.04611866,0.5697115384615384,0.43028846153846156
temperature_rolling_std_24h,0.015242826,0.044800777,0.5257554945054945,0.4742445054945055
temperature_change_1h,0.005402986,0.04257885,0.32085622710622713,0.6791437728937729
humidity,-0.025414264,0.04083795,0.31524725274725274,0.6847527472527473
hour_sin,0.0018055119,0.039854694,0.6299221611721612,0.37007783882783885
