Importance_Rank,Feature,Mean_Absolute_SHAP,Mean_SHAP
1,temperature,1.1733329,0.06976677
2,temperature_lag_24h,0.5616298,-0.0029329087
3,temperature_lag_1h,0.45032954,0.07111159
4,hour_cos,0.29430953,0.01281619
5,month_cos,0.124939665,0.002581496
6,month,0.07724882,-0.011881107
7,hour,0.077068545,0.011546732
8,temperature_rolling_mean_24h,0.05297051,-0.010481275
9,wind_direction_sin,0.051750567,0.007881371
10,temperature_lag_3h,0.04806466,0.016079746
11,wind_direction,0.04611867,-0.0009862224
12,temperature_rolling_std_24h,0.04480071,0.015242798
13,temperature_change_1h,0.04257885,0.005402996
14,humidity,0.040837944,-0.025414236
15,hour_sin,0.03985476,0.0018055085
16,temperature_lag_6h,0.03679041,0.006836029
17,wind_direction_cos,0.03418304,0.0048956065
18,rain_lag_1h,0.032105554,-0.00027105835
19,humidity_lag_1h,0.030588426,-0.020268416
20,cloud_cover,0.026502455,-0.00787177
21,pressure_lag_1h,0.02621418,0.005082166
22,wind_speed,0.025751071,-0.0053080656
23,pressure,0.025530888,-0.005426996
24,wind_speed_lag_1h,0.02245555,-0.0014595272
25,month_sin,0.020317944,-0.0011200721
26,temperature_lag_12h,0.019912718,0.0031567197
27,rain,0.0152754905,-0.00041368417
28,pressure_change_1h,0.0102622835,-0.0046425113
